Symbol,Year,Dividend
AAPL,2016,0.57
AAPL,2017,0.63
AAPL,2018,0.73
AAPL,2019,0.77
AAPL,2020,0.82
AAPL,2021,0.88
AAPL,2022,0.92
MSFT,2016,1.44
MSFT,2017,1.56
MSFT,2018,1.68
MSFT,2019,1.84
MSFT,2020,2.04
MSFT,2021,2.24
MSFT,2022,2.48
GOOGL,2016,0
GOOGL,2017,0
GOOGL,2018,0
GOOGL,2019,0
GOOGL,2020,0
GOOGL,2021,0
GOOGL,2022,0
JNJ,2016,3.15
JNJ,2017,3.32
JNJ,2018,3.54
JNJ,2019,3.75
JNJ,2020,3.98
JNJ,2021,4.19
JNJ,2022,4.45
PG,2016,2.66
PG,2017,2.76
PG,2018,2.84
PG,2019,2.98
PG,2020,3.16
PG,2021,3.32
PG,2022,3.52
KO,2016,1.40
KO,2017,1.48
KO,2018,1.56
KO,2019,1.60
KO,2020,1.64
KO,2021,1.68
KO,2022,1.76
XOM,2016,2.98
XOM,2017,3.06
XOM,2018,3.23
XOM,2019,3.43
XOM,2020,3.48
XOM,2021,3.52
XOM,2022,3.52